categoryName,CategoryDescription,itemName,itemDescription
Electronics,Devices and gadgets for modern living,Smartphone,High-tech gadget with the latest features
Furniture,Comfortable and stylish home furnishings,Sofa,Stylish sectional with plush cushions
Clothing,Fashionable apparel for all seasons,Jacket,Warm and stylish winter wear
Books,"A collection of novels, textbooks, and more",Mystery Novel,A page-turner full of suspense
Toys,Playtime fun for all ages,Building Blocks,Colorful and imaginative construction toys
Sporting Goods,Equipment for various sports activities,Tennis Racket,Lightweight racket for easy handling
Garden Supplies,Tools and products for gardening enthusiasts,Garden Hose,Durable hose for efficient watering
Beauty Products,Cosmetics and personal care items,Shampoo,Nourishing formula for healthy hair
Food Items,Grocery and gourmet items,Organic Coffee,Rich flavor with a smooth finish
Office Supplies,Products for office use and organization,Desk Organizer,Ideal for keeping stationary neat and tidy